veh_op_day_id,start_time,end_time,total_time_s,on_shift,vmt
1,00:00:00,07:57:32,28652,0,0.0
1,07:57:32,19:24:55,41243,1,42.12643487415799
1,19:24:55,23:59:59,16504,0,0.0
2,00:00:00,07:43:09,27789,0,0.0
2,07:43:09,17:34:56,35507,1,106.53291984860243
2,17:34:56,23:59:59,23103,0,0.0
3,00:00:00,08:08:57,29337,0,0.0
3,08:08:57,16:38:44,30587,1,47.2791107408941
3,16:38:44,23:59:59,26475,0,0.0
4,00:00:00,05:05:11,18311,0,0.0
4,05:05:11,18:21:21,47770,1,75.68979752992621
4,18:21:21,23:59:59,20318,0,0.0
5,00:00:00,07:35:51,27351,0,0.0
5,07:35:51,20:34:10,46699,1,89.86268750461373
5,20:34:10,23:59:59,12349,0,0.0
6,00:00:00,09:32:28,34348,0,0.0
6,09:32:28,17:47:34,29706,1,41.10549049746961
6,17:47:34,23:59:59,22345,0,0.0
7,00:00:00,09:40:39,34839,0,0.0
7,09:40:39,18:43:32,32573,1,57.378760085985235
7,18:43:32,23:59:59,18987,0,0.0
8,00:00:00,08:57:03,32223,0,0.0
8,08:57:03,17:37:31,31228,1,38.10771793165799
8,17:37:31,23:59:59,22948,0,0.0
9,00:00:00,09:00:42,32442,0,0.0
9,09:00:42,19:59:30,39528,1,51.40093913062934
9,19:59:30,23:59:59,14429,0,0.0
10,00:00:00,09:09:44,32984,0,0.0
10,09:09:44,17:40:49,30665,1,43.535175165915796
10,17:40:49,23:59:59,22750,0,0.0
11,00:00:00,09:18:03,33483,0,0.0
11,09:18:03,18:40:31,33748,1,44.1053208153342
11,18:40:31,23:59:59,19168,0,0.0
12,00:00:00,07:27:28,26848,0,0.0
12,07:27:28,16:28:31,32463,1,87.99324268835069
12,16:28:31,23:59:59,27088,0,0.0
13,00:00:00,07:11:48,25908,0,0.0
13,07:11:48,17:23:53,36725,1,78.58228762569445
13,17:23:53,23:59:59,23766,0,0.0
14,00:00:00,07:58:58,28738,0,0.0
14,07:58:58,17:09:40,33042,1,91.00053269452258
14,17:09:40,23:59:59,24619,0,0.0
15,00:00:00,07:51:30,28290,0,0.0
15,07:51:30,19:12:54,40884,1,82.07811170215712
15,19:12:54,23:59:59,17225,0,0.0
16,00:00:00,07:25:01,26701,0,0.0
16,07:25:01,17:36:11,36670,1,87.82617371826389
16,17:36:11,23:59:59,23028,0,0.0
17,00:00:00,07:24:40,26680,0,0.0
17,07:24:40,17:05:59,34879,1,120.5759260239844
17,17:05:59,23:59:59,24840,0,0.0
18,00:00:00,08:15:15,29715,0,0.0
18,08:15:15,18:15:00,35985,1,74.53546335436633
18,18:15:00,23:59:59,20699,0,0.0
19,00:00:00,04:20:32,15632,0,0.0
19,04:20:32,04:57:08,2196,1,0.6009660825260417
19,04:57:08,08:42:04,13496,0,0.0
19,08:42:04,18:14:23,34339,1,93.92740046449651
19,18:14:23,23:59:59,20736,0,0.0
20,00:00:00,08:40:12,31212,0,0.0
20,08:40:12,18:26:08,35156,1,81.58194803742622
20,18:26:08,23:59:59,20031,0,0.0
21,00:00:00,08:18:23,29903,0,0.0
21,08:18:23,18:14:38,35775,1,110.57731419253906
21,18:14:38,23:59:59,20721,0,0.0
22,00:00:00,08:13:20,29600,0,0.0
22,08:13:20,17:02:31,31751,1,84.14772212440973
22,17:02:31,23:59:59,25048,0,0.0
23,00:00:00,08:10:46,29446,0,0.0
23,08:10:46,18:28:06,37040,1,64.60840897406251
23,18:28:06,23:59:59,19913,0,0.0
24,00:00:00,08:14:57,29697,0,0.0
24,08:14:57,17:52:32,34655,1,45.13640022769097
24,17:52:32,23:59:59,22047,0,0.0
25,00:00:00,08:54:12,32052,0,0.0
25,08:54:12,19:27:25,37993,1,93.59177651989148
25,19:27:25,23:59:59,16354,0,0.0
26,00:00:00,07:56:48,28608,0,0.0
26,07:56:48,18:31:08,38060,1,56.776653879369576
26,18:31:08,23:59:59,19731,0,0.0
27,00:00:00,06:57:27,25047,0,0.0
27,06:57:27,13:35:36,23889,1,129.95241239145628
27,13:35:36,23:59:59,37463,0,0.0
28,00:00:00,07:43:45,27825,0,0.0
28,07:43:45,17:44:23,36038,1,75.88256143144748
28,17:44:23,23:59:59,22536,0,0.0
29,00:00:00,07:23:52,26632,0,0.0
29,07:23:52,18:17:01,39189,1,95.32453859461373
29,18:17:01,23:59:59,20578,0,0.0
30,00:00:00,07:45:00,27900,0,0.0
30,07:45:00,18:36:24,39084,1,56.98277496500651
30,18:36:24,23:59:59,19415,0,0.0
31,00:00:00,08:31:57,30717,0,0.0
31,08:31:57,17:42:26,33029,1,71.07734360631294
31,17:42:26,23:59:59,22653,0,0.0
32,00:00:00,09:25:36,33936,0,0.0
32,09:25:36,17:43:01,29845,1,114.60830280775065
32,17:43:01,23:59:59,22618,0,0.0
33,00:00:00,09:54:45,35685,0,0.0
33,09:54:45,14:19:52,15907,1,64.81140972008572
33,14:19:52,23:59:59,34807,0,0.0
34,00:00:00,09:36:44,34604,0,0.0
34,09:36:44,19:38:50,36126,1,118.63660259102193
34,19:38:50,23:59:59,15669,0,0.0
35,00:00:00,08:51:02,31862,0,0.0
35,08:51:02,14:16:48,19546,1,62.62398287934137
35,14:16:48,23:59:59,34991,0,0.0
36,00:00:00,08:25:59,30359,0,0.0
36,08:25:59,17:58:17,34338,1,80.60307093591472
36,17:58:17,23:59:59,21702,0,0.0
37,00:00:00,08:56:59,32219,0,0.0
37,08:56:59,20:09:43,40364,1,79.55253861981227
37,20:09:43,23:59:59,13816,0,0.0
38,00:00:00,09:03:12,32592,0,0.0
38,09:03:12,17:52:02,31730,1,116.99645688870625
38,17:52:02,23:59:59,22077,0,0.0
39,00:00:00,08:18:41,29921,0,0.0
39,08:18:41,21:13:22,46481,1,76.50266015814346
39,21:13:22,23:59:59,9997,0,0.0
40,00:00:00,08:33:00,30780,0,0.0
40,08:33:00,17:10:41,31061,1,81.07302051162627
40,17:10:41,23:59:59,24558,0,0.0
41,00:00:00,08:02:36,28956,0,0.0
41,08:02:36,18:43:42,38466,1,73.93889460437283
41,18:43:42,23:59:59,18977,0,0.0
42,00:00:00,07:58:52,28732,0,0.0
42,07:58:52,18:00:30,36098,1,72.83619773434353
42,18:00:30,23:59:59,21569,0,0.0
43,00:00:00,07:57:23,28643,0,0.0
43,07:57:23,18:12:22,36899,1,74.68227438926866
43,18:12:22,23:59:59,20857,0,0.0
44,00:00:00,08:55:29,32129,0,0.0
44,08:55:29,17:49:33,32044,1,76.64523095626302
44,17:49:33,23:59:59,22226,0,0.0
45,00:00:00,08:46:48,31608,0,0.0
45,08:46:48,19:08:49,37321,1,71.0122911328277
45,19:08:49,23:59:59,17470,0,0.0
46,00:00:00,08:46:59,31619,0,0.0
46,08:46:59,18:05:20,33501,1,76.71205463375978
46,18:05:20,23:59:59,21279,0,0.0
47,00:00:00,08:51:06,31866,0,0.0
47,08:51:06,19:49:16,39490,1,75.05058908290364
47,19:49:16,23:59:59,15043,0,0.0
48,00:00:00,08:55:41,32141,0,0.0
48,08:55:41,18:23:12,34051,1,75.1907501805523
48,18:23:12,23:59:59,20207,0,0.0
49,00:00:00,08:51:16,31876,0,0.0
49,08:51:16,19:19:16,37680,1,72.2541323606315
49,19:19:16,23:59:59,16843,0,0.0
50,00:00:00,09:00:22,32422,0,0.0
50,09:00:22,19:34:55,38073,1,73.09126055122938
50,19:34:55,23:59:59,15904,0,0.0
51,00:00:00,08:58:54,32334,0,0.0
51,08:58:54,18:18:35,33581,1,79.65044635461481
51,18:18:35,23:59:59,20484,0,0.0
52,00:00:00,06:22:33,22953,0,0.0
52,06:22:33,13:58:45,27372,1,92.71560228181966
52,13:58:45,23:59:59,36074,0,0.0
53,00:00:00,07:34:15,27255,0,0.0
53,07:34:15,14:28:18,24843,1,110.09590202105966
53,14:28:18,23:59:59,34301,0,0.0
54,00:00:00,07:20:50,26450,0,0.0
54,07:20:50,12:36:50,18960,1,67.67312455620225
54,12:36:50,23:59:59,40989,0,0.0
55,00:00:00,09:35:17,34517,0,0.0
55,09:35:17,13:23:19,13682,1,79.96115680115017
55,13:23:19,23:59:59,38200,0,0.0
56,00:00:00,07:24:42,26682,0,0.0
56,07:24:42,18:05:02,38420,1,76.24573309341146
56,18:05:02,23:59:59,21297,0,0.0
57,00:00:00,07:54:38,28478,0,0.0
57,07:54:38,16:27:45,30787,1,107.04299626353408
57,16:27:45,23:59:59,27134,0,0.0
58,00:00:00,10:38:23,38303,0,0.0
58,10:38:23,17:57:52,26369,1,73.36428487358397
58,17:57:52,23:59:59,21727,0,0.0
59,00:00:00,08:48:42,31722,0,0.0
59,08:48:42,16:47:03,28701,1,77.69513421513562
59,16:47:03,23:59:59,25976,0,0.0
60,00:00:00,08:40:12,31212,0,0.0
60,08:40:12,18:12:33,34341,1,64.76945504143339
60,18:12:33,23:59:59,20846,0,0.0
61,00:00:00,08:25:02,30302,0,0.0
61,08:25:02,19:12:22,38840,1,80.77276805721462
61,19:12:22,23:59:59,17257,0,0.0
62,00:00:00,09:21:51,33711,0,0.0
62,09:21:51,19:47:03,37512,1,47.96283931432834
62,19:47:03,23:59:59,15176,0,0.0
63,00:00:00,07:54:31,28471,0,0.0
63,07:54:31,18:39:19,38688,1,84.73978296803818
63,18:39:19,23:59:59,19240,0,0.0
64,00:00:00,07:39:27,27567,0,0.0
64,07:39:27,10:56:03,11796,1,28.2266919318099
64,10:56:03,13:31:38,9335,0,0.0
64,13:31:38,17:37:26,14748,1,28.86746729094618
64,17:37:26,23:59:59,22953,0,0.0
65,00:00:00,07:40:30,27630,0,0.0
65,07:40:30,17:20:48,34818,1,74.4726115698394
65,17:20:48,23:59:59,23951,0,0.0
66,00:00:00,07:25:20,26720,0,0.0
66,07:25:20,18:26:49,39689,1,74.08736424676215
66,18:26:49,23:59:59,19990,0,0.0
67,00:00:00,07:34:24,27264,0,0.0
67,07:34:24,18:20:57,38793,1,71.96437093573348
67,18:20:57,23:59:59,20342,0,0.0
68,00:00:00,07:34:45,27285,0,0.0
68,07:34:45,19:15:21,42036,1,80.70058289730468
68,19:15:21,23:59:59,17078,0,0.0
69,00:00:00,09:45:33,35133,0,0.0
69,09:45:33,18:37:23,31910,1,70.04822081140625
69,18:37:23,23:59:59,19356,0,0.0
70,00:00:00,08:28:43,30523,0,0.0
70,08:28:43,20:15:58,42435,1,76.6302657319618
70,20:15:58,23:59:59,13441,0,0.0
71,00:00:00,09:11:33,33093,0,0.0
71,09:11:33,18:44:35,34382,1,38.785748581566835
71,18:44:35,23:59:59,18924,0,0.0
72,00:00:00,08:29:01,30541,0,0.0
72,08:29:01,19:27:02,39481,1,72.89034048110244
72,19:27:02,23:59:59,16377,0,0.0
73,00:00:00,08:41:08,31268,0,0.0
73,08:41:08,19:25:44,38676,1,67.77489832975694
73,19:25:44,23:59:59,16455,0,0.0
74,00:00:00,08:52:22,31942,0,0.0
74,08:52:22,17:45:11,31969,1,64.40782534504774
74,17:45:11,23:59:59,22488,0,0.0
75,00:00:00,08:28:46,30526,0,0.0
75,08:28:46,19:09:34,38448,1,71.82965155394965
75,19:09:34,23:59:59,17425,0,0.0
76,00:00:00,08:33:41,30821,0,0.0
76,08:33:41,12:54:10,15629,1,39.97586822500434
76,12:54:10,15:45:25,10275,0,0.0
76,15:45:25,19:36:00,13835,1,39.956841435052084
76,19:36:00,23:59:59,15839,0,0.0
